"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,24.81,36.43,2.686,66.63966,1.82373277260491,2,0.429106008332697,1.39462676427221,1.56145917124192,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,39.325,52.695,3.213,126.351225,2.10157945684684,2,0.506910725551518,1.59466873129532,1.72176940884771,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,55.195,72.455,3.347,184.737665,2.26655545003696,2,0.524655712357777,1.74189973767918,1.86006836078694,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,47.675,76.045,2.845,135.635375,2.13237297244913,2,0.45408227073109,1.67829070171804,1.88107066422997,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,46.755,61.725,3.286,153.63693,2.18649562043156,2,0.516667559099043,1.66982806133252,1.79046109860397,"Northern Territory"
"dph","2016-08-10","cupaniopsis_anacardioides","ca_104","ca_104-cupaniopsis_anacardioides",100,44.46,55.465,3.062,136.13652,2.13397464472521,2,0.486005186362242,1.64796945836297,1.74401901732498,"Northern Territory"
"dph","2016-08-10","cupaniopsis_anacardioides","ca_104","ca_104-cupaniopsis_anacardioides",100,34.585,44.305,3.281,113.473385,2.05489401040075,2,0.516006230386048,1.5388877800147,1.64645274089294,"Northern Territory"
"dph","2016-08-10","cupaniopsis_anacardioides","ca_104","ca_104-cupaniopsis_anacardioides",100,54.745,69.365,3.507,191.990715,2.283280225986,2,0.544935765881502,1.73834446010449,1.84114039061211,"Northern Territory"
"dph","2016-08-10","cupaniopsis_anacardioides","ca_104","ca_104-cupaniopsis_anacardioides",100,39.375,55.395,2.858,112.53375,2.05128279125261,2,0.456062224454951,1.59522056679766,1.74347056670666,"Northern Territory"
"dph","2016-08-10","cupaniopsis_anacardioides","ca_104","ca_104-cupaniopsis_anacardioides",100,49.645,69.035,3.166,157.17607,2.19638642555802,2,0.500510910526337,1.69587551503168,1.83906932918681,"Northern Territory"
